Row Labels,VOL 2020
100771,448
102180,828
102643,599
102750,196
103308,23748
103862,1179
104216,671
104298,28471
105129,319
105157,571
105679,3576
105732,1953
105833,536
107034,3378
108454,3
109196,312
109209,906
109422,519
109930,2270
110804,2627
111250,336
112215,9306
113454,562
114555,2277
114564,4137
114771,3437
115266,99133
115586,648
116126,15
117163,890
117899,52303
118720,330
119154,414
119366,967
119726,3167
120030,643
120264,846
121299,279
123806,3041863
123901,381
124898,63
126917,329
127658,15036
129828,858
130603,86355
132789,2705
133004,11741
134260,539
134688,311
135565,1674
137245,961
137550,1079
137580,464
137770,913
139056,1008
139932,1501
140137,731
141285,2560
142244,1750
142426,463
142553,322
144127,1976
145203,327
145719,269
146899,1284
150644,2618
151144,398
152878,1595
155075,795
155390,349
156163,1247
156924,378
157701,456
158330,640
159364,1217
159874,865
162466,5393
162615,340
163057,691
164377,28792
165730,217
166091,1396
167795,188
168399,282
169214,295
169868,2369
171458,1722
172282,1247
174770,603
175233,697
176306,1077
177272,510
177318,9374
178060,433
178432,1153
178731,5173
178797,361
178835,26539
179544,698
179838,277
180567,721
182784,860
183231,283
186819,10660
187319,795
188073,1009
188225,483
188238,18089
188710,254
189658,821
190124,524
190135,1148
190192,1551
190745,337
192167,4478
192536,358
193702,561
194577,1491
195237,888
196254,2045
196632,904
196835,77177
198080,321
198502,816
199653,1754
199718,748
201196,4057
202573,699
203090,4010
205223,790
205943,7131
206155,6107
209054,703
209479,255
209666,166
210017,145
210626,737
210645,540
211598,44245
212169,808
212354,823
213947,630
215836,90657
216220,14177
218010,328
218279,818
219114,648
219797,334
220475,1590
221605,5633
221914,2408
222053,1866
224690,4874
226167,320
226250,25053
226492,1321
227440,1696
228893,96
229592,966
230420,619
231110,1443
231140,2524
231960,517
233847,4218
234106,15435
236105,224
236198,384
236400,641
237353,312
238525,676
239088,655
241661,660
244064,544
244211,4529
246102,1390
247444,311
247714,644
248512,4282
248762,401
248876,795
249743,2176
250740,818
253015,787
253678,2784
255704,10643
256304,1189
256717,2170
257959,744
258831,587
259195,13784
259662,942
261165,260
261943,46653
262253,318
262597,1132
262774,3852
263278,742
265348,246
